"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","BigQuery;Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel","Express;Gatsby;NestJS;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Cloud Firestore;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel","Angular;Express;NestJS;React","Healthcare","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Not employed, but looking for work"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;MySQL;Redis","Digital Ocean;Microsoft Azure;Netlify","ASP.NET CORE;Node.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"pretoria campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript","Cassandra;Dynamodb;Elasticsearch;H2;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure","Angular;Express;Spring Boot","Insurance","ChatGPT","Tabnine;Whispr AI","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL","Netlify;Vercel","Express;Next.js;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Designer","Primary/elementary school","Assembly","Datomic","Fly.io","Spring Boot","Information Services, IT, Software Development, or other Technology","Andi","Codeium;Replit Ghostwriter","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Java;JavaScript;TypeScript","MariaDB;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Hetzner;Vercel","Angular;Express;Node.js","Healthcare","ChatGPT;Phind","Adrenaline;GitHub Copilot;Tabnine","Employed, full-time"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;Ruby;TypeScript","MySQL","Amazon Web Services (AWS);Cloudflare;Netlify","Laravel;Next.js;React;Ruby on Rails","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;Scala;SQL;TypeScript","Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure","Django;FastAPI;Flask;jQuery;Node.js;Vue.js;WordPress","Legal Services","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","Elixir;Go;Java;JavaScript;PHP;Ruby","MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;VMware","jQuery;Node.js;Spring Boot;WordPress","Wholesale","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
